Group Name,Graph Name,Vector Name,Graph Type,Avg/Diff,Min,Max,Samples
Vuser Info,Running Vusers,NA,sample,128.618,126.904,128.000,19
Vuser Info,Active Vusers,NA,sample,121.905,0.000,128.000,19
Vuser Info,Thinking Vusers,NA,sample,0.000,0.000,0.000,19
Vuser Info,Waiting Vusers,NA,sample,0.000,0.000,0.000,19
Vuser Info,Idling Vusers,NA,sample,0.000,0.000,0.000,19
Vuser Info,Number Of Connections,NA,sample,109.259,0.000,119.000,19
Vuser Info,SyncPoint Vusers,NA,sample,0.000,0.000,0.000,19
Network Throughput,TCP Send Throughput (Kbps),NA,sample,20663.668,95.733,21727.022,19
Network Throughput,TCP Total Send Bytes,NA,cumulative,472165629.000,27729819.000,499895448.000,19
Network Throughput,TCP Receive Throughput (Kbps),NA,sample,33909.608,162.650,35654.500,19
Network Throughput,TCP Total Receive Bytes,NA,cumulative,774843520.000,45497728.000,820341248.000,19
Network Throughput,Ethernet Send Throughput (Kbps),NA,sample,176717.010,941.785,185785.403,19
Network Throughput,Total Ethernet Send Bytes,NA,cumulative,4037985092.000,237152824.000,4275137916.000,19
Network Throughput,Ethernet Receive Throughput (Kbps),NA,sample,186132.615,1000.833,195712.321,19
Network Throughput,Total Ethernet Receive Bytes,NA,cumulative,4253121526.000,249798708.000,4502920234.000,19
Network Throughput,Ethernet Send Packets/Sec,NA,rate,277969.048,1282.000,292244.000,19
Network Throughput,Ethernet Total Send Packets,NA,cumulative,49621953.000,2914276.000,52536229.000,19
Network Throughput,Ethernet Receive Packets/Sec,NA,rate,270405.820,1268.000,284339.000,19
Network Throughput,Ethernet Total Receive Packets,NA,cumulative,48271638.000,2835164.000,51106802.000,19
Network Throughput,TCP Connections Open/Sec,NA,rate,67819.217,314.200,71309.200,19
Network Throughput,TCP Total Connections Open,NA,cumulative,12106811.000,711021.000,12817832.000,19
Network Throughput,TCP Connections Close/Sec,NA,rate,67819.217,325.300,71309.000,19
Network Throughput,TCP Total Connections Close,NA,cumulative,12106930.000,710902.000,12817832.000,19
Network Throughput,SSL New Sessions/Sec,NA,rate,0.000,0.000,0.000,19
Network Throughput,SSL Total New Sessions,NA,cumulative,0.000,0.000,0.000,19
Network Throughput,SSL Reused Sessions/Sec,NA,rate,0.000,0.000,0.000,19
Network Throughput,SSL Total Reused Sessions,NA,cumulative,0.000,0.000,0.000,19
Network Throughput,SSL Reuse attempted/Sec,NA,rate,0.000,0.000,0.000,19
Network Throughput,SSL Total Reuse attempted,NA,cumulative,0.000,0.000,0.000,19
Network Throughput,SSL Write Failures/Sec,NA,rate,0.000,0.000,0.000,19
Network Throughput,SSL Handshake Failures/Sec,NA,rate,0.000,0.000,0.000,19
Network Throughput,HTTP Body receive throughput (Kbps),NA,rate,1059.675,5.083,1114.203,19
Network Throughput,HTTP Body Total receive bytes,NA,cumulative,24213860.000,1421804.000,25635664.000,19
HTTP Requests,Requests Sent/Sec,NA,rate,67819.217,313.900,71308.900,19
HTTP Requests,Requests Completed/Sec,NA,rate,67819.217,325.300,71309.000,19
HTTP Requests,Requests Successful/Sec,NA,rate,67819.217,325.300,71309.000,19
