#TimeStamp|Thread Name|Src file name|Line number|Function|Severity|Message
03/14/16 12:20:39|Main thread|ns_log_mgr.c|975|main|Info|Prev Logging Writer was not running, pid saved
03/14/16 12:20:39|Main thread|ns_log_mgr.c|987|main|Info|Starting NetStorm log manager (nsa_log_mgr): Port = 45933, Num proc to handle = 9, Listen fd = 11, Filterm mode = 1, Shm id = 17989637, Event Hashes = 302, Big Buf Shm id = 17924099, Debug = 0, TestRunInfoShmKey = 17858561, trace_level = 1
03/14/16 12:20:39|Main thread|ns_log_mgr.c|886|get_hash_code_func|Info|Method Called, hash_fun_name = event_id_hash_fun, so_file_name = /home/netstorm/work/.tmp/automation/ns-inst0/event_id_hash_fun_write.so
03/14/16 12:20:39|Main thread|ns_log_mgr.c|723|receive_forever|Info|Method Called, num_processes = 9
03/14/16 12:20:42|Main thread|ns_log_mgr.c|655|accept_and_timeout_for_el|Info|Method Called, delta = 109
03/14/16 12:20:42|Main thread|ns_log_mgr.c|611|create_el_proc_table_entry|Info|Method Called, row_num = 1684548304, delta = 109
03/14/16 12:20:42|Main thread|ns_log_mgr.c|616|create_el_proc_table_entry|Info|Reallocating, total_el_proc_entries = 0, max_el_proc_entries = 0
03/14/16 12:20:42|Main thread|ns_log_mgr.c|220|init_el_msg_con_struct|Info|Method Called, ip = 127.0.0.1
03/14/16 12:20:42|Main thread|ns_log_mgr.c|200|add_select_el_msg_com_con|Info|Method called
03/14/16 12:20:42|Main thread|ns_log_mgr.c|690|accept_and_timeout_for_el|Info|Got connection from  IPV4:127.0.0.1.52464, current number of connection = 1
03/14/16 12:20:42|Main thread|ns_log_mgr.c|634|rearrange_el_msg_com_con|Info|Method Called, total_el_proc_entries = 1
03/14/16 12:20:42|Main thread|ns_log_mgr.c|200|add_select_el_msg_com_con|Info|Method called
03/14/16 12:20:42|Main thread|ns_log_mgr.c|655|accept_and_timeout_for_el|Info|Method Called, delta = 109
03/14/16 12:20:42|Main thread|ns_log_mgr.c|611|create_el_proc_table_entry|Info|Method Called, row_num = 1684548304, delta = 109
03/14/16 12:20:42|Main thread|ns_log_mgr.c|220|init_el_msg_con_struct|Info|Method Called, ip = 127.0.0.1
