Transaction Name|Min (sec)|Avg (sec)|Max (sec)|Std Dev|Attempted|Success|Failure (%)|Completed (Per sec)
static1K_page1_trans1| 0.000| 0.001| 0.341| 0.004|29035|29032| 0.010|31.633
hpd_page1_trans1| 0.001| 0.002| 0.068| 0.003|2700|2700| 0.000| 2.942
hpd_page2_trans2| 0.000| 0.002| 0.582| 0.020|2686|2686| 0.000| 2.927
hpd_page3_trans3| 0.000| 0.004| 0.298| 0.012|2664|2664| 0.000| 2.903
hpd_page4_trans4| 0.000| 0.003| 0.561| 0.014|2640|2640| 0.000| 2.877
hpd_page5_trans5| 0.000| 0.003| 0.463| 0.015|2601|2601| 0.000| 2.834
hpd_page6_trans6| 0.000| 0.003| 0.201| 0.008|2566|2566| 0.000| 2.796
hpd_page7_trans7| 0.000| 0.002| 0.642| 0.015|2535|2535| 0.000| 2.762
hpd_ex_login| 0.000| 0.006| 0.827| 0.007|56343|56332| 0.020|61.380
hpd_ex_findflight| 0.000| 0.001| 0.205| 0.002|56332|56330| 0.004|61.377
hpd_ex_reservation| 0.001| 0.003| 0.139| 0.002|56327|56322| 0.009|61.369
hpd_ex_logout| 0.000| 0.000| 0.063| 0.001|56322|56321| 0.002|61.368
transfail_4xx| 2.028| 4.002| 5.985| 0.815|6874|1|99.985| 0.001
ALL| 0.000| 0.101| 5.985| 0.632|279625|272730| 2.466|297.168
