Group Display Order|Group Name(Vector Name)|Group ID|Data Display Order|Graph Name(Vector Name)|Avg|Min|Max
10|Vuser Info(NA)|1|10|Running Vusers(NA)|154.566|0.000|278.771
10|Vuser Info(NA)|1|20|Active Vusers(NA)|0.227|0.000|3.000
10|Vuser Info(NA)|1|30|Thinking Vusers(NA)|153.751|0.000|282.000
10|Vuser Info(NA)|1|40|Waiting Vusers(NA)|0.000|0.000|0.000
10|Vuser Info(NA)|1|50|Idling Vusers(NA)|0.000|0.000|0.000
10|Vuser Info(NA)|1|60|Number Of Connections(NA)|416.114|0.000|767.000
10|Vuser Info(NA)|1|70|SyncPoint Vusers(NA)|0.000|0.000|0.000
20|Network Throughput(NA)|2|10|TCP Send Throughput (Kbps)(NA)|1181.652|0.000|2297.166
20|Network Throughput(NA)|2|20|TCP Total Send Bytes(NA)|43684031.000|0.000|179811873.000
20|Network Throughput(NA)|2|30|TCP Receive Throughput (Kbps)(NA)|6466.883|0.000|12064.695
20|Network Throughput(NA)|2|40|TCP Total Receive Bytes(NA)|239110829.000|0.000|984127347.000
20|Network Throughput(NA)|2|50|Ethernet Send Throughput (Kbps)(NA)|1713.739|29.716|3217.377
20|Network Throughput(NA)|2|60|Total Ethernet Send Bytes(NA)|260817448.000|178220.000|260817448.000
20|Network Throughput(NA)|2|70|Ethernet Receive Throughput (Kbps)(NA)|7077.985|30.962|13123.638
20|Network Throughput(NA)|2|80|Total Ethernet Receive Bytes(NA)|1077212755.000|179967.000|1077212755.000
20|Network Throughput(NA)|2|90|Ethernet Send Packets/Sec(NA)|724.617|5.000|1369.000
20|Network Throughput(NA)|2|100|Ethernet Total Send Packets(NA)|862104.000|219.000|862104.000
20|Network Throughput(NA)|2|110|Ethernet Receive Packets/Sec(NA)|866.846|6.000|1621.000
20|Network Throughput(NA)|2|120|Ethernet Total Receive Packets(NA)|1031196.000|233.000|1031196.000
20|Network Throughput(NA)|2|130|TCP Connections Open/Sec(NA)|56.271|0.000|103.500
20|Network Throughput(NA)|2|140|TCP Total Connections Open(NA)|66906.000|0.000|66906.000
20|Network Throughput(NA)|2|150|TCP Connections Close/Sec(NA)|56.271|0.000|110.300
20|Network Throughput(NA)|2|160|TCP Total Connections Close(NA)|66906.000|0.000|66906.000
20|Network Throughput(NA)|2|170|SSL New Sessions/Sec(NA)|0.000|0.000|0.000
20|Network Throughput(NA)|2|180|SSL Total New Sessions(NA)|0.000|0.000|0.000
20|Network Throughput(NA)|2|190|SSL Reused Sessions/Sec(NA)|0.000|0.000|0.000
20|Network Throughput(NA)|2|200|SSL Total Reused Sessions(NA)|0.000|0.000|0.000
20|Network Throughput(NA)|2|210|SSL Reuse attempted/Sec(NA)|0.000|0.000|0.000
20|Network Throughput(NA)|2|220|SSL Total Reuse attempted(NA)|0.000|0.000|0.000
20|Network Throughput(NA)|2|230|SSL Write Failures/Sec(NA)|0.000|0.000|0.000
20|Network Throughput(NA)|2|240|SSL Handshake Failures/Sec(NA)|0.000|0.000|0.000
20|Network Throughput(NA)|2|250|HTTP Body receive throughput (Kbps)(NA)|6321.471|0.000|11786.129
20|Network Throughput(NA)|2|260|HTTP Body Total receive bytes(NA)|233731908.000|0.000|961999430.000
30|HTTP Requests(NA)|3|10|Requests Sent/Sec(NA)|202.780|0.000|388.300
30|HTTP Requests(NA)|3|20|Requests Completed/Sec(NA)|202.780|0.000|388.300
30|HTTP Requests(NA)|3|30|Requests Successful/Sec(NA)|200.130|0.000|383.500
30|HTTP Requests(NA)|3|40|Average Response Time (Secs)(NA)|0.000|0.000|0.265
30|HTTP Requests(NA)|3|50|Requests Completed(NA)|241105.000|0.000|241105.000
30|HTTP Requests(NA)|3|60|Requests Successful(NA)|237954.000|0.000|237954.000
40|HTTP Response Codes(NA)|25|10|100 Continue/Sec(NA)|0.000|0.000|0.000
40|HTTP Response Codes(NA)|25|20|101 Switching Protocols/Sec(NA)|0.000|0.000|0.000
40|HTTP Response Codes(NA)|25|30|200 OK/Sec(NA)|200.130|0.000|383.500
40|HTTP Response Codes(NA)|25|40|201 Created/Sec(NA)|0.000|0.000|0.000
40|HTTP Response Codes(NA)|25|50|202 Accepted/Sec(NA)|0.000|0.000|0.000
40|HTTP Response Codes(NA)|25|60|203 Non-Authoritative Information/Sec(NA)|0.000|0.000|0.000
40|HTTP Response Codes(NA)|25|70|204 No Content/Sec(NA)|0.000|0.000|0.000
40|HTTP Response Codes(NA)|25|80|205 Reset Content/Sec(NA)|0.000|0.000|0.000
40|HTTP Response Codes(NA)|25|90|206 Partial Content/Sec(NA)|0.000|0.000|0.000
40|HTTP Response Codes(NA)|25|100|300 Multiple Choices/Sec(NA)|0.000|0.000|0.000
40|HTTP Response Codes(NA)|25|110|301 Moved Permanently/Sec(NA)|0.000|0.000|0.000
40|HTTP Response Codes(NA)|25|120|302 Found/Sec(NA)|0.000|0.000|0.000
40|HTTP Response Codes(NA)|25|130|303 See Other/Sec(NA)|0.000|0.000|0.000
