2016-07-13 04:46:39 PM |TR38857|SMOKE-032-001| tname is =SMOKE-032-001
2016-07-13 04:52:16 PM |TR38858|SMOKE-032-001| tname is =SMOKE-032-001
2016-07-13 04:52:16 PM |TR38858|SMOKE-032-001| Inside validation module
2016-07-13 04:52:16 PM |TR38858|SMOKE-032-001| url_completed=57.000;url_success=57.000
2016-07-13 04:52:16 PM |TR38858|SMOKE-032-001| page_completed=7.000;page_success=7.000
2016-07-13 04:56:21 PM |TR38859|SMOKE-032-001| tname is =SMOKE-032-001
2016-07-13 04:56:21 PM |TR38859|SMOKE-032-001| Inside validation module
2016-07-13 04:56:21 PM |TR38859|SMOKE-032-001| url_completed=57.000;url_success=57.000
2016-07-13 04:56:21 PM |TR38859|SMOKE-032-001| page_completed=7.000;page_success=7.000
2016-07-13 04:56:21 PM |TR38859|SMOKE-032-001| difference between url_completed and url_success:
2016-07-13 05:06:14 PM |TR38860|SMOKE-032-001| tname is =SMOKE-032-001
2016-07-13 05:06:14 PM |TR38860|SMOKE-032-001| Inside validation module
2016-07-13 05:06:14 PM |TR38860|SMOKE-032-001| url_completed=57;url_success=57
2016-07-13 05:06:14 PM |TR38860|SMOKE-032-001| page_completed=7;page_success=7
2016-07-13 05:06:14 PM |TR38860|SMOKE-032-001| difference between url_completed and url_success:0
2016-07-13 05:06:24 PM |TR38861|SMOKE-032-002| tname is =SMOKE-032-002
2016-07-13 05:16:56 PM |TR38862|SMOKE-032-001| tname is =SMOKE-032-001
2016-07-13 05:16:56 PM |TR38862|SMOKE-032-001| Inside validation module
2016-07-13 05:16:56 PM |TR38862|SMOKE-032-001| url_completed=57;url_success=57
2016-07-13 05:16:56 PM |TR38862|SMOKE-032-001| page_completed=7;page_success=7
2016-07-13 05:16:56 PM |TR38862|SMOKE-032-001| difference between url_completed and url_success:0
2016-07-13 05:17:07 PM |TR38863|SMOKE-032-002| tname is =SMOKE-032-002
2016-07-13 05:17:07 PM |TR38863|SMOKE-032-002| url_completed=2; status200count=1.000;
2016-07-13 05:17:07 PM |TR38863|SMOKE-032-002| status302count=1.000; location_in_rep=Location: /Smoke_Redirect/urlIPV6redirectionSec.html
2016-07-13 05:36:49 PM |TR38864|SMOKE-032-002| tname is =SMOKE-032-002
