TestID,Release_Id,Build_Id,Component_Id,Status,Catagory,Description
Smoke_SEARCH_TWOMAIN_URL,4.1.3,5,NetStorm,pass,smoke,Smoke_SEARCH_TWOMAIN_URL passed
Smoke_SEARCH_PASS_TWOMAIN_URL_SaveLength,4.1.3,5,NetStorm,pass,smoke,Smoke_SEARCH_PASS_TWOMAIN_URL_SaveLength passed
Smoke_SEARCH_PASS_TWOMAIN_URL_SaveLengthWihtSaveOffset,4.1.3,5,NetStorm,pass,smoke,Smoke_SEARCH_PASS_TWOMAIN_URL_SaveLengthWihtSaveOffset passed
Smoke_SEARCH_Fail_TWOMAIN_URL_SaveLengthWihtSaveOffset,4.1.3,5,NetStorm,pass,smoke,Smoke_SEARCH_Fail_TWOMAIN_URL_SaveLengthWihtSaveOffset passed
Smoke_SEARCH_Fail_TWOMAIN_URL_TwopagesSearch_SaveLengthWihtSaveOffset,4.1.3,5,NetStorm,pass,smoke,Smoke_SEARCH_Fail_TWOMAIN_URL_TwopagesSearch_SaveLengthWihtSaveOffset passed
Smoke_SEARCH_Fail_TWOMAIN_URL_AllpagesSearch_SaveLengthWihtSaveOffset,4.1.3,5,NetStorm,pass,smoke,Smoke_SEARCH_Fail_TWOMAIN_URL_AllpagesSearch_SaveLengthWihtSaveOffset passed
Smoke_Checkpoint_TWOMAIN_URL_CV_FoundFail,4.1.3,5,NetStorm,pass,smoke,Smoke_Checkpoint_TWOMAIN_URL_CV_FoundFail passed
Smoke_Checkpoint_TWOMAIN_URL_CV_NotFoundFail,4.1.3,5,NetStorm,pass,smoke,Smoke_Checkpoint_TWOMAIN_URL_CV_NotFoundFail passed
Smoke_Checkpoint_TWOMAIN_URL_CV_Prefix_Seffix_FoundFail,4.1.3,5,NetStorm,pass,smoke,Smoke_Checkpoint_TWOMAIN_URL_CV_Prefix_Seffix_FoundFail passed
Smoke_Checkpoint_TWOMAIN_URL_CV_Prefix_Seffix_NotFoundFail,4.1.3,5,NetStorm,pass,smoke,Smoke_Checkpoint_TWOMAIN_URL_CV_Prefix_Seffix_NotFoundFail passed
Smoke_Checkpoint_TWOMAIN_URL_CV_Prefix_Seffix_NotFoundFail_ActionOnfailContinue,4.1.3,5,NetStorm,pass,smoke,Smoke_Checkpoint_TWOMAIN_URL_CV_Prefix_Seffix_NotFoundFail_ActionOnfailContinue passed
Smoke_Checkpoint_TWOMAIN_URL_CV_Prefix_Seffix_NotFoundFail_ActionOnfailStop,4.1.3,5,NetStorm,pass,smoke,Smoke_Checkpoint_TWOMAIN_URL_CV_Prefix_Seffix_NotFoundFail_ActionOnfailStop passed
Smoke_Checkpoint_TWOMAIN_URL_CV_CompareWithFile_FoundFail,4.1.3,5,NetStorm,pass,smoke,Smoke_Checkpoint_TWOMAIN_URL_CV_CompareWithFile_FoundFail passed
Smoke_Checkpoint_TWOMAIN_URL_CV_CompareWithFile_NotFoundFail,4.1.3,5,NetStorm,pass,smoke,Smoke_Checkpoint_TWOMAIN_URL_CV_CompareWithFile_NotFoundFail passed
Smoke_FileParam_FiveMainURL_ChangeOnUse,4.1.3,5,NetStorm,pass,smoke,Smoke_FileParam_FiveMainURL_ChangeOnUse passed
Smoke_FileParam_FiveMainURL_ChangeOnSession,4.1.3,5,NetStorm,pass,smoke,Smoke_FileParam_FiveMainURL_ChangeOnSession passed
Smoke_TenDSrvrURL_Sce2Dep,4.1.3,5,NetStorm,pass,smoke,Smoke_TenDSrvrURL_Sce2Dep passed
Smoke_OneDSrvr_RelativePath,4.1.3,5,NetStorm,pass,smoke,Smoke_OneDSrvr_RelativePath passed
Smoke_DifHost_Redirection,4.1.3,5,NetStorm,pass,smoke,Smoke_DifHost_Redirection passed
Smoke_RltvToObslt_Redirection,4.1.3,5,NetStorm,pass,smoke,Smoke_RltvToObslt_Redirection passed
Smoke_DifProto_Redirection,4.1.3,5,NetStorm,pass,smoke,Smoke_DifProto_Redirection passed
Smoke_SAVE_STRING_API_TEST,4.1.3,5,NetStorm,pass,smoke,Smoke_SAVE_STRING_API_TEST Passed
Smoke_EVAL_STRING_API_TEST,4.1.3,5,NetStorm,pass,smoke,Smoke_EVAL_STRING_API_TEST Passed
Smoke_ADV_PARAM_API_TEST,4.1.3,5,NetStorm,pass,smoke,Smoke_ADV_PARAM_API_TEST Passed
Smoke_ADV_PARAM_API_TEST_FAIL,4.1.3,5,NetStorm,pass,smoke,Smoke_ADV_PARAM_API_TEST_FAIL Passed
Smoke_SAVE_DATA_VAR_API_RELATIVE_PATH_TEST,4.1.3,5,NetStorm,pass,smoke,Smoke_SAVE_DATA_VAR_API_RELATIVE_PATH_TEST Passed
Smoke_SAVE_DATA_VAR_API_ABSOLUTE_PATH_TEST,4.1.3,5,NetStorm,pass,smoke,Smoke_SAVE_DATA_VAR_API_ABSOLUTE_PATH_TEST Passed
Smoke_SAVE_DATA_VAR_API_NO_PERMISSION_FAIL_TEST,4.1.3,5,NetStorm,pass,smoke,Smoke_SAVE_DATA_VAR_API_NO_PERMISSION_FAIL_TEST Passed
Smoke_SAVE_DATA_VAR_API_WRONG_PATH_FAIL_TEST,4.1.3,5,NetStorm,pass,smoke,Smoke_SAVE_DATA_VAR_API_WRONG_PATH_FAIL_TEST Passed
Smoke_SAVE_DATA_EVAL_API_RELATIVE_PATH_TEST,4.1.3,5,NetStorm,pass,smoke,Smoke_SAVE_DATA_EVAL_API_RELATIVE_PATH_TEST Passed
Smoke_SAVE_DATA_EVAL_API_ABSOLUTE_PATH_TEST,4.1.3,5,NetStorm,pass,smoke,Smoke_SAVE_DATA_EVAL_API_ABSOLUTE_PATH_TEST Passed
Smoke_SAVE_DATA_EVAL_API_NO_PERMISSION_FAIL_TEST,4.1.3,5,NetStorm,pass,smoke,Smoke_SAVE_DATA_EVAL_API_NO_PERMISSION_FAIL_TEST Passed
Smoke_SAVE_DATA_EVAL_API_WRONG_PATH_FAIL_TEST,4.1.3,5,NetStorm,pass,smoke,Smoke_SAVE_DATA_EVAL_API_WRONG_PATH_FAIL_TEST Passed
