TestID, TestRun, Release_Id, Build_Id, Component_Id, Status, Catagory, Description
SMOKE-001-001,25048,4.1.5,15,NetStorm,pass,1,ns_save_string() api Passed
SMOKE-001-002,25049,4.1.5,15,NetStorm,pass,1,ns_eval_string() Passed
SMOKE-001-003,25050,4.1.5,15,NetStorm,pass,1,ns_adv_param() Passed
SMOKE-001-004,25051,4.1.5,15,NetStorm,pass,1,ns_adv_param() negative condition Passed
SMOKE-001-005,25052,4.1.5,15,NetStorm,pass,1,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-006,25053,4.1.5,15,NetStorm,pass,1,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-007,25054,4.1.5,15,NetStorm,pass,1,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-008,25055,4.1.5,15,NetStorm,pass,1,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-009,25056,4.1.5,15,NetStorm,pass,1,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-010,25057,4.1.5,15,NetStorm,pass,1,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-011,25058,4.1.5,15,NetStorm,pass,1,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-012,25059,4.1.5,15,NetStorm,pass,1,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-013,25060,4.1.5,15,NetStorm,pass,1,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-014,25061,4.1.5,15,NetStorm,pass,1,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-015,25062,4.1.5,15,NetStorm,pass,1,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-016,25063,4.1.5,15,NetStorm,pass,1,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-017,25064,4.1.5,15,NetStorm,pass,1,Smoke_SET_INT_VAL_API_TEST Passed
SMOKE-001-018,25065,4.1.5,15,NetStorm,pass,1,Smoke_GET_INT_VAL_API_TEST Passed
SMOKE-001-019,25066,4.1.5,15,NetStorm,pass,1,Smoke_GET_RANDOM_STR_API_TEST Passed
SMOKE-001-020,25067,4.1.5,15,NetStorm,pass,1,Smoke_GETTERS_API_TEST Passed
SMOKE-001-021,25068,4.1.5,15,NetStorm,pass,1,Smoke_CHK_STR_CPY_API_TEST Passed
SMOKE-002-001,25069,4.1.5,15,NetStorm,pass,1,Http authentication basic for apache main param session Passed
SMOKE-002-002,25070,4.1.5,15,NetStorm,pass,1,Http authentication basic for apache main param use Passed
SMOKE-002-003,25071,4.1.5,15,NetStorm,pass,1,Http authentication basic for apache for Page Dump Passed
SMOKE-002-004,25072,4.1.5,15,NetStorm,pass,1,Http authentication basic main with keep alive Passed
SMOKE-002-005,25073,4.1.5,15,NetStorm,pass,1,Http authentication basic main cvfail without keepalive Passed
SMOKE-003-001,25074,4.1.5,15,NetStorm,pass,1,Autofetch one main url five autofetch url Passed
SMOKE-003-002,25075,4.1.5,15,NetStorm,pass,1,Autofetch disabled Passed
SMOKE-003-003,25076,4.1.5,15,NetStorm,pass,1,Autofetch enabled two embedded url Passed
SMOKE-003-004,25077,4.1.5,15,NetStorm,pass,1,Autofetch disabled two embedded url Passed
SMOKE-003-005,25078,4.1.5,15,NetStorm,pass,1,Autofetch Inline Include Domain Passed
SMOKE-003-006,25079,4.1.5,15,NetStorm,pass,1,Autofetch Inline Exclude Domain Passed
SMOKE-003-007,25080,4.1.5,15,NetStorm,pass,1,Autofetch Inline Include Url Pattern Passed
SMOKE-003-008,25081,4.1.5,15,NetStorm,pass,1,Autofetch Inline Exclude Url Pattern Passed
SMOKE-003-009,25082,4.1.5,15,NetStorm,pass,1,No jsp based url being requested after excluding jsp based pattern
SMOKE-003-010,25083,4.1.5,15,NetStorm,pass,1,jsp based url being requested after including jsp based pattern
SMOKE-003-011,25084,4.1.5,15,NetStorm,pass,1,js based url were not requested after excluding js+ based pattern
SMOKE-003-012,25085,4.1.5,15,NetStorm,pass,1,jsp inlines have been filtered out but js being included for js? pattern
SMOKE-003-013,25086,4.1.5,15,NetStorm,pass,1,only js and jsp based inlines have been requested for including jsp? pattern
SMOKE-003-014,25087,4.1.5,15,NetStorm,pass,1,jsp and js both inlines have been included for js* pattern
SMOKE-003-015,25088,4.1.5,15,NetStorm,pass,1,jsp and js both inlines have been included for j[sp]+ pattern
SMOKE-003-016,25089,4.1.5,15,NetStorm,pass,1,PostURLCallBack for set embed objects api;mode zero;not implemented
SMOKE-003-017,25090,4.1.5,15,NetStorm,pass,1,PostURLCallBack for set embd objects api;mode one;not implemented
SMOKE-003-018,25091,4.1.5,15,NetStorm,pass,1,PostURLCallBack for set embd objects api;url redirection;not implemented
SMOKE-004-001,25092,4.1.5,15,NetStorm,pass,1,Auto Redirect 10 Depth Server URL and Scenario 2 Depth Redirection Passed
SMOKE-004-002,25093,4.1.5,15,NetStorm,pass,1,Auto Redirect One Depth Server URL with relative path Passed
SMOKE-004-003,25094,4.1.5,15,NetStorm,pass,1,Auto Redirect For Different Host Test Passed
SMOKE-004-004,25095,4.1.5,15,NetStorm,pass,1,Auto Redirect For Relative To Absolute redirection Passed
SMOKE-004-005,25096,4.1.5,15,NetStorm,pass,1,Auto Redirect For Different Protocol Url Passed
SMOKE-004-006,25097,4.1.5,15,NetStorm,pass,1,Validation passed for Manual redirection testcase
SMOKE-005-003,25098,4.1.5,15,NetStorm,pass,1,Four URL Test with expiry code and cookie mode 1  Passed
SMOKE-005-004,25099,4.1.5,15,NetStorm,pass,1,Two URL Test with command line cookie and cookie mode 1 Passed
SMOKE-006-001,25100,4.1.5,15,NetStorm,pass,1,KeepAlive with percentage 100 Passed
SMOKE-006-002,25101,4.1.5,15,NetStorm,pass,1,KeepAlive with percentage 0 Passed
SMOKE-007-001,25102,4.1.5,15,NetStorm,pass,1,One Url MultiPart With Boundary Passed
SMOKE-007-002,25103,4.1.5,15,NetStorm,pass,1,One Url MultiPart Without Boundary Passed
SMOKE-007-003,25104,4.1.5,15,NetStorm,pass,1,One Url MultiPart Nested Boundries Passed
SMOKE-008-001,25105,4.1.5,15,NetStorm,pass,1,Page think time with constant mode Passed
SMOKE-008-002,25106,4.1.5,15,NetStorm,pass,1,Page think time with uniform distribution mode Passed
SMOKE-008-003,25107,4.1.5,15,NetStorm,pass,1,Page think time with internet type distribution mode Passed
