#testcaseid,testrun,componentid,catagoryid,status,description
SMOKE-001-001,51549,1,1,pass,ns_save_string() api Passed
SMOKE-001-002,51550,1,1,pass,ns_eval_string() Passed
SMOKE-001-003,51551,1,1,pass,ns_adv_param() Passed
SMOKE-001-004,51552,1,1,pass,ns_adv_param() negative condition Passed
SMOKE-001-007,51555,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-008,51556,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-011,51559,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-012,51560,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-013,51561,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-014,51562,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-015,51563,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-016,51564,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-017,51565,1,1,pass,Smoke_SET_INT_VAL_API_TEST Passed
SMOKE-001-018,51566,1,1,pass,Smoke_GET_INT_VAL_API_TEST Passed
SMOKE-001-019,51567,1,1,pass,Smoke_GET_RANDOM_STR_API_TEST Passed
SMOKE-001-020,51568,1,1,pass,Smoke_GETTERS_API_TEST Passed
SMOKE-001-021,51569,1,1,pass,Smoke_CHK_STR_CPY_API_TEST Passed
SMOKE-001-024,51570,1,1,pass,Passed for ns_get_url_resp_msg
SMOKE-003-016,51591,1,1,pass,PostURLCallBack for set embed objects api;mode zero;not implemented
SMOKE-003-017,51592,1,1,pass,PostURLCallBack for set embd objects api;mode one;not implemented
SMOKE-003-018,51593,1,1,pass,PostURLCallBack for set embd objects api;url redirection;not implemented
SMOKE-006-001,51601,1,1,fail,KeepAlive with percentage 100 Failed
SMOKE-006-002,51602,1,1,fail,KeepAlive with percentage 0 Failed
SMOKE-008-001,51606,1,1,pass,Page think time with constant mode Passed
SMOKE-008-002,51607,1,1,pass,Page think time with uniform distribution mode Passed
SMOKE-008-003,51608,1,1,pass,Page think time with internet type distribution mode Passed
SMOKE-008-004,51609,1,1,pass,Page think time keyword for specific page Passed
SMOKE-008-005,51610,1,1,pass,Page think time keyword with overide and multiply values Passed
SMOKE-008-007,51611,1,1,pass,Page think time custom mode 4 vaidation passed
SMOKE-008-008,51612,1,1,pass,Page think time custom mode 4 vaidation passed
SMOKE-008-009,51613,1,1,pass,Page think time custom mode 4 vaidation passed
SMOKE-008-010,51614,1,1,pass,Page think time custom mode 4 vaidation passed
SMOKE-008-011,51615,1,1,pass,page think time mode 4 testcase passed for all groups and all pages
SMOKE-008-012,51616,1,1,pass,page think time mode 4 testcase passed where function returns a random value from an initalized array
SMOKE-036-001,51654,1,1,pass,RBU data validation between HAR and CSV Passed
SMOKE-012-001,51655,1,1,pass,Runlogic for percentaged block flow test Passed
SMOKE-012-002,51656,1,1,pass,Runlogic for percentaged block flow test Passed
SMOKE-012-003,51657,1,1,pass,Runlogic for percentaged block flow test Passed
SMOKE-012-004,51658,1,1,pass,Runlogic for sequence flows test Passed
SMOKE-012-005,51659,1,1,fail,Runlogic for handle_switch_case block test Failed
SMOKE-012-006,51660,1,1,fail,Runlogic for handle_switch_case block test Failed
SMOKE-012-007,51661,1,1,fail,Runlogic for handle_switch_case block test Failed
SMOKE-012-008,51662,1,1,fail,Runlogic for handle_switch_case block test Failed
SMOKE-012-009,51663,1,1,fail,Runlogic for handle_switch_case block test Failed
SMOKE-013-001,51664,1,1,pass,SyncPoint Before FirstTrans 10Users all users release Passed
SMOKE-013-002,51665,1,1,fail,SyncPoint Before FirstTrans 10Users 5 users release  Failed
SMOKE-013-003,51666,1,1,pass,SyncPoint Before FirstTrans 10Users 20 users release timeout  Passed
SMOKE-013-004,51667,1,1,pass,SyncPoint In Between Transasctions 10 Users all users release Passed
SMOKE-013-005,51668,1,1,pass,SyncPoint Before First Page 10 Users all users release Passed
SMOKE-013-006,51669,1,1,fail,SyncPoint In Btween Pages 10Users 5users release Failed
SMOKE-014-001,51670,1,1,pass,NS add header with Main url Passed
SMOKE-014-002,51671,1,1,pass,NS add header with Embedded url Passed
SMOKE-014-003,51672,1,1,pass,NS add header with both Main and Embedded urls Passed
