3/12 2:50:22|MainFrame|MainFrame|Constructor Called.
3/12 2:50:25|MainFrame|createMozillaComponent|Method Called.
3/12 2:50:25|MainFrame|setSecurityCertificationErrors|Method called.
3/12 2:50:26|MainFrame|EnableDisableBrowserOtions|method called.
3/12 2:50:26|MainFrame|EnableDisableBrowserOtions|Enabling JavaScript feature.
3/12 2:50:26|MainFrame|EnableDisableBrowserOtions|Enabling ImageDownload feature.
3/12 2:50:26|MainFrame|EnableDisableBrowserOtions|Enabling Plugins feature.
3/12 2:50:26|MainFrame|EnableDisableBrowserOtions|Setting User Agent=Mozilla/4.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.24) Gecko/20111103 Firefox/3.6.24
3/12 2:50:26|MainFrame|addNavigationListeners|method called.
3/12 2:50:26|NetStormBrowserNavigationEventListener|NetStormBrowserNavigationEventListener|Constructor Called.
3/12 2:50:26|NetstormCEventListener|NetstormCEventListener|Constructor Called.
3/12 2:50:26|MainFrame|updateBackForwardButtons|method Called.
3/12 2:50:26|NetstormCEventListener|addHTMLElementsListeners|Method Called.
3/12 2:50:26|NetStormBrowserNavigationEventListener|setcEventListener|Method Called.
3/12 2:50:26|NetStormBrowserNavigationEventListener|setupListeners|Method Called.
3/12 2:50:26|NetstormCEventListener|addAllHTMLElementsListeners|Method Called.
3/12 2:50:26|RecordingHttpListener|observe|Method Called for sTopic=http-on-modify-request
3/12 2:50:26|Utils|getURLTracker|urlString = http://192.168.1.93:9062/tours/index.html, requestOrResponce = request
3/12 2:50:26|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1394616026601
3/12 2:50:26|Utils|convertToSecond method called|time = 4000.0
3/12 2:50:26|Utils|isSplit|Method called.
3/12 2:50:26|Utils|isSplit|Splitting for Ajax Header = false
3/12 2:50:26|Utils|isSplit|Splitting for method GET = false
3/12 2:50:26|Utils|isSplit|result = false
3/12 2:50:26|Utils|isSplitForTimeDiff|Method called.
3/12 2:50:26|Utils|isSplit|result = false
3/12 2:50:26|Utils|isSplitForURLType|Method called.
3/12 2:50:26|Utils|isSplitForURLType|value = false
3/12 2:50:26|Utils|isSplitForURLType|value = false
3/12 2:50:26|Utils|isSplit|isSplitForURLType = false
3/12 2:50:26|NetStormBrowserNavigationEventListener|navigationStarted|Method Called for URL=http://192.168.1.93:9062/tours/index.html
3/12 2:50:26|NetStormBrowserNavigationEventListener|navigationStarted|Begin Loading URL == http://192.168.1.93:9062/tours/index.html  ===== Begin = 1394616026621
3/12 2:50:26|Utils|getURLTracker|urlString = http://192.168.1.93:9062/tours/index.html, requestOrResponce = snapShot
3/12 2:50:26|RecordingHttpListener|observe|Method Called for sTopic=http-on-examine-response
3/12 2:50:26|Utils|getURLTracker|urlString = http://192.168.1.93:9062/tours/index.html, requestOrResponce = response
3/12 2:50:26|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1394616026681
3/12 2:50:26|Utils|convertToSecond method called|time = 4080.0
3/12 2:50:26|Utils|isSplit|Method called.
3/12 2:50:26|Utils|isSplit|Splitting for Ajax Header = false
3/12 2:50:26|Utils|isSplit|Splitting for method GET = false
3/12 2:50:26|Utils|isSplit|result = false
3/12 2:50:26|Utils|isSplitForTimeDiff|Method called.
3/12 2:50:26|Utils|isSplit|result = false
3/12 2:50:26|Utils|isSplitForURLType|Method called.
3/12 2:50:26|Utils|isSplitForURLType|value = false
3/12 2:50:26|Utils|isSplitForURLType|value = false
3/12 2:50:26|Utils|isSplitForURLType|value = false
3/12 2:50:26|Utils|isSplit|isSplitForURLType = false
3/12 2:50:26|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1394616026681
3/12 2:50:26|Utils|convertToSecond method called|time = 4080.0
3/12 2:50:26|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1394616026681
3/12 2:50:26|Utils|convertToSecond method called|time = 4080.0
3/12 2:50:26|RecordingHttpListener|onStartRequest|method called with request Name = http://192.168.1.93:9062/tours/index.html
3/12 2:50:26|Utils|getURLTracker|urlString = http://192.168.1.93:9062/tours/index.html, requestOrResponce = snapShot
3/12 2:50:26|RecordingHttpListener|onDataAvailable|method called for request=http://192.168.1.93:9062/tours/index.html
