#This file contain the url which name are parsed.
#Page Number|file Name|Host Name|Main URL|Changed URL.
1|script.capture|127.0.0.1|127.0.0.1/tours/index.html|192.168.1.35_81/tours/index.html
1|script.detail|127.0.0.1|127.0.0.1/tours/Merc10-dev/images/banner_animated.gif|192.168.1.35_81/tours/Merc10-dev/images/banner_animated.gif
1|script.detail|127.0.0.1|127.0.0.1/tours/Merc10-dev/images/sun_swede.gif|192.168.1.35_81/tours/Merc10-dev/images/sun_swede.gif
1|script.detail|127.0.0.1|127.0.0.1/tours/Merc10-dev/images/login.gif|192.168.1.35_81/tours/Merc10-dev/images/login.gif
1|script.detail|127.0.0.1|127.0.0.1/tours/images/banner_merctur.jpg|192.168.1.35_81/tours/images/banner_merctur.jpg
1|script.detail|127.0.0.1|127.0.0.1/tours/Merc10-dev/images/login.gif|192.168.1.35_81/tours/Merc10-dev/images/login.gif_2
1|script.detail|127.0.0.1|127.0.0.1/tours/images/banner_merctur.jpg|192.168.1.35_81/tours/images/banner_merctur.jpg_2
2|script.capture|127.0.0.1|127.0.0.1/cgi-bin/login?userSession=75893.0884568651DQADHfApHDHfcDtccpfAttcf&username=saurabh&password=cavisson&JSFormSubmit=off&login.x=63&login.y=4|192.168.1.35_81/cgi-bin/login_userSession%3D75893.0884568651DQADHfApHDHfcDtccpfAttcf_username%3Dsaurabh_password%3Dcavisson_JSFormSubmit%3Doff_login.x%3D63_login.y%3D4
2|script.detail|127.0.0.1|127.0.0.1/tours/Merc10-dev/images/banner_animated.gif|192.168.1.35_81/tours/Merc10-dev/images/banner_animated.gif_3
2|script.detail|127.0.0.1|127.0.0.1/tours/Merc10-dev/images/sun_swede.gif|192.168.1.35_81/tours/Merc10-dev/images/sun_swede.gif_3
2|script.detail|127.0.0.1|127.0.0.1/tours/Merc10-dev/images/banner_animated.gif|192.168.1.35_81/tours/Merc10-dev/images/banner_animated.gif_4
2|script.detail|127.0.0.1|127.0.0.1/tours/Merc10-dev/images/sun_swede.gif|192.168.1.35_81/tours/Merc10-dev/images/sun_swede.gif_4
2|script.detail|127.0.0.1|127.0.0.1/tours/Merc10-dev/images/flights.gif|192.168.1.35_81/tours/Merc10-dev/images/flights.gif_2
2|script.detail|127.0.0.1|127.0.0.1/tours/Merc10-dev/images/home.gif|192.168.1.35_81/tours/Merc10-dev/images/home.gif_2
2|script.detail|127.0.0.1|127.0.0.1/tours/Merc10-dev/images/signoff.gif|192.168.1.35_81/tours/Merc10-dev/images/signoff.gif_2
2|script.detail|127.0.0.1|127.0.0.1/tours/vep/images/velocigen.gif|192.168.1.35_81/tours/vep/images/velocigen.gif_2
3|script.capture|127.0.0.1|127.0.0.1/cgi-bin/reservation|192.168.1.35_81/cgi-bin/reservation
3|script.detail|127.0.0.1|127.0.0.1/tours/Merc10-dev/images/banner_animated.gif|192.168.1.35_81/tours/Merc10-dev/images/banner_animated.gif_5
3|script.detail|127.0.0.1|127.0.0.1/tours/Merc10-dev/images/sun_swede.gif|192.168.1.35_81/tours/Merc10-dev/images/sun_swede.gif_5
3|script.detail|127.0.0.1|127.0.0.1/tours/Merc10-dev/images/flights.gif|192.168.1.35_81/tours/Merc10-dev/images/flights.gif_3
3|script.detail|127.0.0.1|127.0.0.1/tours/Merc10-dev/images/home.gif|192.168.1.35_81/tours/Merc10-dev/images/home.gif_3
3|script.detail|127.0.0.1|127.0.0.1/tours/Merc10-dev/images/signoff.gif|192.168.1.35_81/tours/Merc10-dev/images/signoff.gif_3
3|script.detail|127.0.0.1|127.0.0.1/tours/Merc10-dev/images/splash_Findflight.gif|192.168.1.35_81/tours/Merc10-dev/images/splash_Findflight.gif
3|script.detail|127.0.0.1|127.0.0.1/tours/images/continue.gif|192.168.1.35_81/tours/images/continue.gif
3|script.detail|127.0.0.1|127.0.0.1/tours/vep/images/velocigen.gif|192.168.1.35_81/tours/vep/images/velocigen.gif_3
