#This file contain the url which name are parsed.
#Page Number|file Name|Host Name|Main URL|Changed URL.
1|Tours.c|127.0.0.1|127.0.0.1/tours/index.html|192.168.1.35_81/tours/index.html
1|Tours.c|127.0.0.1|127.0.0.1/tours/Merc10-dev/images/banner_animated.gif|192.168.1.35_81/tours/Merc10-dev/images/banner_animated.gif
1|Tours.c|127.0.0.1|127.0.0.1/tours/Merc10-dev/images/banner_animated.gif|192.168.1.35_81/tours/Merc10-dev/images/banner_animated.gif_2
1|Tours.c|127.0.0.1|127.0.0.1/tours/Merc10-dev/images/sun_swede.gif|192.168.1.35_81/tours/Merc10-dev/images/sun_swede.gif_2
1|Tours.c|127.0.0.1|127.0.0.1/tours/Merc10-dev/images/login.gif|192.168.1.35_81/tours/Merc10-dev/images/login.gif_2
1|Tours.c|127.0.0.1|127.0.0.1/tours/images/banner_merctur.jpg|192.168.1.35_81/tours/images/banner_merctur.jpg_2
2|Tours.c|127.0.0.1|127.0.0.1/cgi-bin/login?userSession=75893.0884568651DQADHfApHDHfcDtccpfAttcf&username=saurabh&password=cavisson&JSFormSubmit=off&login.x=48&login.y=16|192.168.1.35_81/cgi-bin/login_userSession%3D75893.0884568651DQADHfApHDHfcDtccpfAttcf_username%3Dsaurabh_password%3Dcavisson_JSFormSubmit%3Doff_login.x%3D48_login.y%3D1
2|Tours.c|127.0.0.1|127.0.0.1/tours/Merc10-dev/images/banner_animated.gif|192.168.1.35_81/tours/Merc10-dev/images/banner_animated.gif_3
2|Tours.c|127.0.0.1|127.0.0.1/tours/Merc10-dev/images/sun_swede.gif|192.168.1.35_81/tours/Merc10-dev/images/sun_swede.gif_3
2|Tours.c|127.0.0.1|127.0.0.1/tours/Merc10-dev/images/flights.gif|192.168.1.35_81/tours/Merc10-dev/images/flights.gif
2|Tours.c|127.0.0.1|127.0.0.1/tours/Merc10-dev/images/home.gif|192.168.1.35_81/tours/Merc10-dev/images/home.gif
2|Tours.c|127.0.0.1|127.0.0.1/tours/Merc10-dev/images/signoff.gif|192.168.1.35_81/tours/Merc10-dev/images/signoff.gif
2|Tours.c|127.0.0.1|127.0.0.1/tours/images/banner_merctur.jpg|192.168.1.35_81/tours/images/banner_merctur.jpg_3
2|Tours.c|127.0.0.1|127.0.0.1/tours/vep/images/velocigen.gif|192.168.1.35_81/tours/vep/images/velocigen.gif
2|Tours.c|127.0.0.1|127.0.0.1/tours/Merc10-dev/images/signoff.gif|192.168.1.35_81/tours/Merc10-dev/images/signoff.gif_2
2|Tours.c|127.0.0.1|127.0.0.1/tours/vep/images/velocigen.gif|192.168.1.35_81/tours/vep/images/velocigen.gif_2
3|Tours.c|127.0.0.1|127.0.0.1/cgi-bin/reservation|192.168.1.35_81/cgi-bin/reservation
3|Tours.c|127.0.0.1|127.0.0.1/tours/Merc10-dev/images/banner_animated.gif|192.168.1.35_81/tours/Merc10-dev/images/banner_animated.gif_5
3|Tours.c|127.0.0.1|127.0.0.1/tours/Merc10-dev/images/sun_swede.gif|192.168.1.35_81/tours/Merc10-dev/images/sun_swede.gif_5
3|Tours.c|127.0.0.1|127.0.0.1/tours/Merc10-dev/images/flights.gif|192.168.1.35_81/tours/Merc10-dev/images/flights.gif_3
3|Tours.c|127.0.0.1|127.0.0.1/tours/Merc10-dev/images/sun_swede.gif|192.168.1.35_81/tours/Merc10-dev/images/sun_swede.gif_6
3|Tours.c|127.0.0.1|127.0.0.1/tours/Merc10-dev/images/splash_Findflight.gif|192.168.1.35_81/tours/Merc10-dev/images/splash_Findflight.gif_2
3|Tours.c|127.0.0.1|127.0.0.1/tours/images/continue.gif|192.168.1.35_81/tours/images/continue.gif_2
4|Tours.c|127.0.0.1|127.0.0.1/cgi-bin/findflight?depart=Acapulco&departDate=07-06-2011&arrive=Acapulco&returnDate=07-07-2011&numPassengers=1&seatPref=None&seatType=Coach&findFlights.x=42&findFlights.y=7|192.168.1.35_81/cgi-bin/findflight_depart%3DAcapulco_departDate%3D07_06_2011_arrive%3DAcapulco_returnDate%3D07_07_2011_numPassengers%3D1_seatPref%3DNone_seatType%3DCoach
4|Tours.c|127.0.0.1|127.0.0.1/tours/Merc10-dev/images/banner_animated.gif|192.168.1.35_81/tours/Merc10-dev/images/banner_animated.gif_7
4|Tours.c|127.0.0.1|127.0.0.1/tours/Merc10-dev/images/sun_swede.gif|192.168.1.35_81/tours/Merc10-dev/images/sun_swede.gif_7
4|Tours.c|127.0.0.1|127.0.0.1/tours/Merc10-dev/images/flights.gif|192.168.1.35_81/tours/Merc10-dev/images/flights.gif_5
4|Tours.c|127.0.0.1|127.0.0.1/tours/Merc10-dev/images/home.gif|192.168.1.35_81/tours/Merc10-dev/images/home.gif_5
4|Tours.c|127.0.0.1|127.0.0.1/tours/Merc10-dev/images/signoff.gif|192.168.1.35_81/tours/Merc10-dev/images/signoff.gif_5
4|Tours.c|127.0.0.1|127.0.0.1/tours/Merc10-dev/images/sun_swede.gif|192.168.1.35_81/tours/Merc10-dev/images/sun_swede.gif_8
4|Tours.c|127.0.0.1|127.0.0.1/tours/Merc10-dev/images/flights.gif|192.168.1.35_81/tours/Merc10-dev/images/flights.gif_6
4|Tours.c|127.0.0.1|127.0.0.1/tours/images/splash_Searchresults.gif|192.168.1.35_81/tours/images/splash_Searchresults.gif
4|Tours.c|127.0.0.1|127.0.0.1/tours/images/startover.gif|192.168.1.35_81/tours/images/startover.gif
5|Tours.c|127.0.0.1|127.0.0.1/cgi-bin/findflight?outboundFlight=button0&hidden_outboundFlight_button0=000%7C0%7C07-06-2011&hidden_outboundFlight_button1=001%7C0%7C07-06-2011&hidden_outboundFlight_button2=002%7C0%7C07-06-2011&hidden_outboundFlight_button3=003%7C0%7C07-06-2011&numPassengers=1&advanceDiscount=&seatType=Coach&seatPref=None&reserveFlights.x=93&reserveFlights.y=14|192.168.1.35_81/cgi-bin/findflight_outboundFlight%3Dbutton0_hidden_outboundFlight_button0%3D000_0_07_06_2011_hidden_outboundFlight_button1%3D001_0_07_06_2011_hid
5|Tours.c|127.0.0.1|127.0.0.1/tours/Merc10-dev/images/banner_animated.gif|192.168.1.35_81/tours/Merc10-dev/images/banner_animated.gif_9
5|Tours.c|127.0.0.1|127.0.0.1/tours/Merc10-dev/images/sun_swede.gif|192.168.1.35_81/tours/Merc10-dev/images/sun_swede.gif_9
5|Tours.c|127.0.0.1|127.0.0.1/tours/Merc10-dev/images/flights.gif|192.168.1.35_81/tours/Merc10-dev/images/flights.gif_7
5|Tours.c|127.0.0.1|127.0.0.1/tours/Merc10-dev/images/home.gif|192.168.1.35_81/tours/Merc10-dev/images/home.gif_7
5|Tours.c|127.0.0.1|127.0.0.1/tours/Merc10-dev/images/signoff.gif|192.168.1.35_81/tours/Merc10-dev/images/signoff.gif_7
5|Tours.c|127.0.0.1|127.0.0.1/tours/images/splash_creditcard.gif|192.168.1.35_81/tours/images/splash_creditcard.gif
5|Tours.c|127.0.0.1|127.0.0.1/tours/images/purchaseflight.gif|192.168.1.35_81/tours/images/purchaseflight.gif
