TestID,TestRun,Status,Description
SMOKE_SEARCH_TWOMAIN_URL,TR1190,PASS,SMOKE_SEARCH_TWOMAIN_URL passed
SMOKE_SEARCH_FAIL_TWOMAIN_URL,TR1191,PASS,SMOKE_SEARCH_FAIL_TWOMAIN_URL passed
SMOKE_SEARCH_PASS_TWOMAIN_URL_SaveLength,TR1192,PASS,SMOKE_SEARCH_PASS_TWOMAIN_URL_SaveLength passed
SMOKE_SEARCH_PASS_TWOMAIN_URL_SaveLengthWihtSaveOffset,TR1193,PASS,SMOKE_SEARCH_PASS_TWOMAIN_URL_SaveLengthWihtSaveOffset passed
SMOKE_SEARCH_Fail_TWOMAIN_URL_SaveLengthWihtSaveOffset,TR1194,PASS,SMOKE_SEARCH_Fail_TWOMAIN_URL_SaveLengthWihtSaveOffset passed
SMOKE_SEARCH_Fail_TWOMAIN_URL_TwopagesSearch_SaveLengthWihtSaveOffset,TR1195,PASS,SMOKE_SEARCH_Fail_TWOMAIN_URL_TwopagesSearch_SaveLengthWihtSaveOffset passed
SMOKE_SEARCH_Fail_TWOMAIN_URL_AllpagesSearch_SaveLengthWihtSaveOffset,TR1196,PASS,SMOKE_SEARCH_Fail_TWOMAIN_URL_AllpagesSearch_SaveLengthWihtSaveOffset passed
SMOKE_Checkpoint_TWOMAIN_URL_CV_FoundFail,TR1198,PASS,SMOKE_Checkpoint_TWOMAIN_URL_CV_FoundFail passed
SMOKE_Checkpoint_TWOMAIN_URL_CV_NotFoundFail,TR1199,PASS,SMOKE_Checkpoint_TWOMAIN_URL_CV_NotFoundFail passed
SMOKE_Checkpoint_TWOMAIN_URL_CV_Prefix_Seffix_FoundFail,TR1200,PASS,SMOKE_Checkpoint_TWOMAIN_URL_CV_Prefix_Seffix_FoundFail passed
SMOKE_Checkpoint_TWOMAIN_URL_CV_Prefix_Seffix_NotFoundFail,TR1201,PASS,SMOKE_Checkpoint_TWOMAIN_URL_CV_Prefix_Seffix_NotFoundFail passed
SMOKE_Checkpoint_TWOMAIN_URL_CV_Prefix_Seffix_NotFoundFail_ActionOnfailContinue,TR1202,PASS,SMOKE_Checkpoint_TWOMAIN_URL_CV_Prefix_Seffix_NotFoundFail_ActionOnfailContinue passed
SMOKE_Checkpoint_TWOMAIN_URL_CV_Prefix_Seffix_NotFoundFail_ActionOnfailStop,TR1203,PASS,SMOKE_Checkpoint_TWOMAIN_URL_CV_Prefix_Seffix_NotFoundFail_ActionOnfailStop passed
SMOKE_Checkpoint_TWOMAIN_URL_CV_CompareWithFile_FoundFail,TR1204,PASS,SMOKE_Checkpoint_TWOMAIN_URL_CV_CompareWithFile_FoundFail passed
SMOKE_Checkpoint_TWOMAIN_URL_CV_CompareWithFile_NotFoundFail,TR1205,PASS,SMOKE_Checkpoint_TWOMAIN_URL_CV_CompareWithFile_NotFoundFail passed
SMOKE_FileParam_FiveMainURL_ChangeOnUse,TR1206,PASS,SMOKE_FileParam_FiveMainURL_ChangeOnUse passed
SMOKE_FileParam_FiveMainURL_ChangeOnSession,TR1207,PASS,SMOKE_FileParam_FiveMainURL_ChangeOnSession passed

Failed: 0 test(s), Passed: 17 test(s), Total: 17 test(s)
