TestID, TestRun, Release_Id, Build_Id, Component_Id, Status, Catagory, Description
SMOKE-001-001,14904,4.1.3,41,NetStorm,pass,1,ns_save_string() api Passed
SMOKE-001-002,14905,4.1.3,41,NetStorm,pass,1,ns_eval_string() Passed
SMOKE-001-003,14906,4.1.3,41,NetStorm,pass,1,ns_adv_param() Passed
SMOKE-001-004,14907,4.1.3,41,NetStorm,pass,1,ns_adv_param() negative condition Passed
SMOKE-001-005,14908,4.1.3,41,NetStorm,pass,1,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-006,14909,4.1.3,41,NetStorm,pass,1,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-007,14910,4.1.3,41,NetStorm,pass,1,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-008,14911,4.1.3,41,NetStorm,pass,1,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-009,14912,4.1.3,41,NetStorm,pass,1,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-010,14913,4.1.3,41,NetStorm,pass,1,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-011,14914,4.1.3,41,NetStorm,pass,1,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-012,14915,4.1.3,41,NetStorm,pass,1,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-013,14916,4.1.3,41,NetStorm,pass,1,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-014,14917,4.1.3,41,NetStorm,pass,1,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-015,14918,4.1.3,41,NetStorm,pass,1,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-016,14919,4.1.3,41,NetStorm,pass,1,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-017,14920,4.1.3,41,NetStorm,pass,1,Smoke_SET_INT_VAL_API_TEST Passed
SMOKE-001-018,14921,4.1.3,41,NetStorm,pass,1,Smoke_GET_INT_VAL_API_TEST Passed
SMOKE-001-019,14922,4.1.3,41,NetStorm,pass,1,Smoke_GET_RANDOM_STR_API_TEST Passed
SMOKE-001-020,14923,4.1.3,41,NetStorm,pass,1,Smoke_GETTERS_API_TEST Passed
SMOKE-001-021,14924,4.1.3,41,NetStorm,pass,1,Smoke_CHK_STR_CPY_API_TEST Passed
SMOKE-003-001,14925,4.1.3,41,NetStorm,pass,1,Autofetch one main url five autofetch url Passed
SMOKE-003-002,14926,4.1.3,41,NetStorm,pass,1,Autofetch disabled Passed
SMOKE-003-003,14927,4.1.3,41,NetStorm,pass,1,Autofetch enabled two embedded url Passed
SMOKE-003-004,14928,4.1.3,41,NetStorm,pass,1,Autofetch disabled two embedded url Passed
SMOKE-003-005,14929,4.1.3,41,NetStorm,pass,1,Autofetch Inline Include Domain Passed
SMOKE-003-006,14930,4.1.3,41,NetStorm,pass,1,Autofetch Inline Exclude Domain Passed
SMOKE-003-007,14931,4.1.3,41,NetStorm,pass,1,Autofetch Inline Include Url Pattern Passed
SMOKE-003-008,14932,4.1.3,41,NetStorm,pass,1,Autofetch Inline Exclude Url Pattern Passed
SMOKE-003-009,14933,4.1.3,41,NetStorm,pass,1,No jsp based url being requested after excluding jsp based pattern
SMOKE-003-010,14934,4.1.3,41,NetStorm,pass,1,jsp based url being requested after including jsp based pattern
