#testcaseid,testrun,componentid,catagoryid,status,description
SMOKE-001-001,56368,1,1,pass,ns_save_string() api Passed
SMOKE-001-002,56369,1,1,pass,ns_eval_string() Passed
SMOKE-001-003,56370,1,1,pass,ns_adv_param() Passed
SMOKE-001-004,56371,1,1,pass,ns_adv_param() negative condition Passed
SMOKE-001-005,56372,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-006,56373,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-007,56374,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-008,56375,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-009,56376,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-010,56377,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-011,56378,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-012,56379,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-013,56380,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-014,56381,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-015,56382,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-016,56383,1,1,pass,save_data_var or save_data_eval or save_dat_ex api Passed
SMOKE-001-017,56384,1,1,pass,Smoke_SET_INT_VAL_API_TEST Passed
SMOKE-001-018,56385,1,1,pass,Smoke_GET_INT_VAL_API_TEST Passed
SMOKE-001-019,56386,1,1,pass,Smoke_GET_RANDOM_STR_API_TEST Passed
SMOKE-001-020,56387,1,1,pass,Smoke_GETTERS_API_TEST Passed
SMOKE-001-021,56388,1,1,pass,Smoke_CHK_STR_CPY_API_TEST Passed
SMOKE-001-024,56389,1,1,pass,Passed for ns_get_url_resp_msg
SMOKE-002-001,56390,1,1,pass,Http authentication basic for apache main param session Passed
SMOKE-002-002,56391,1,1,pass,Http authentication basic for apache main param use Passed
SMOKE-002-003,56392,1,1,pass,Http authentication basic for apache for Page Dump Passed
SMOKE-002-004,56393,1,1,pass,Http authentication basic main with keep alive Passed
SMOKE-002-005,56394,1,1,pass,Http authentication basic main cvfail without keepalive Passed
SMOKE-003-001,56395,1,1,pass,Autofetch one main url five autofetch url Passed
SMOKE-003-002,56396,1,1,pass,Autofetch disabled Passed
SMOKE-003-003,56397,1,1,pass,Autofetch enabled two embedded url Passed
SMOKE-003-004,56398,1,1,pass,Autofetch disabled two embedded url Passed
SMOKE-003-005,56399,1,1,pass,Autofetch Inline Include Domain Passed
SMOKE-003-006,56400,1,1,pass,Autofetch Inline Exclude Domain Passed
SMOKE-003-007,56401,1,1,pass,Autofetch Inline Include Url Pattern Passed
SMOKE-003-008,56402,1,1,pass,Autofetch Inline Exclude Url Pattern Passed
SMOKE-003-009,56403,1,1,pass,No jsp based url being requested after excluding jsp based pattern
SMOKE-003-010,56404,1,1,pass,jsp based url being requested after including jsp based pattern
SMOKE-003-011,56405,1,1,pass,js based url were not requested after excluding js+ based pattern
SMOKE-003-012,56406,1,1,pass,jsp inlines have been filtered out but js being included for js? pattern
SMOKE-003-013,56407,1,1,pass,only js and jsp based inlines have been requested for including jsp? pattern
SMOKE-003-014,56408,1,1,pass,jsp and js both inlines have been included for js* pattern
SMOKE-003-015,56409,1,1,pass,jsp and js both inlines have been included for j[sp]+ pattern
SMOKE-003-016,56410,1,1,pass,PostURLCallBack for set embed objects api;mode zero;not implemented
SMOKE-003-017,56411,1,1,pass,PostURLCallBack for set embd objects api;mode one;not implemented
SMOKE-003-018,56412,1,1,pass,PostURLCallBack for set embd objects api;url redirection;not implemented
SMOKE-004-001,56413,1,1,pass,Auto Redirect 10 Depth Server URL and Scenario 2 Depth Redirection Passed
SMOKE-004-002,56414,1,1,pass,Auto Redirect One Depth Server URL with relative path Passed
SMOKE-004-003,56415,1,1,pass,Auto Redirect For Different Host Test Passed
SMOKE-004-004,56416,1,1,pass,Auto Redirect For Relative To Absolute redirection Passed
SMOKE-004-005,56417,1,1,pass,Auto Redirect For Different Protocol Url Passed
SMOKE-004-006,56418,1,1,pass,Validation passed for Manual redirection testcase
SMOKE-005-004,56419,1,1,pass,Two URL Test with command line cookie and cookie mode 1 Passed
